ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status		
DIP-1409N|refseq:NP_012819|uniprotkb:P14904	DIP-1409N|refseq:NP_012819|uniprotkb:P14904	-	-	-	-	MI:0018(two hybrid)|MI:0398(two hybrid pooling approach)|MI:0018(two hybrid)	-	pubmed:10655498|pubmed:DIP-514S|pubmed:11283351|pubmed:DIP-1102S|pubmed:10688190|pubmed:DIP-513S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0915(physical association)|MI:0218(physical interaction)	MI:0465(dip)	DIP-1576E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-1407N|refseq:NP_014559|uniprotkb:P35193	DIP-1409N|refseq:NP_012819|uniprotkb:P14904	 -	-	-	-	MI:0398(two hybrid pooling approach)|MI:0018(two hybrid)|MI:0096(pull down)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:11283351|pubmed:DIP-1102S|pubmed:10688190|pubmed:DIP-513S|pubmed:24705553|pubmed:DIP-16691S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0218(physical interaction)|MI:0407(direct interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-1577E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0004(small scale)|dip:0005(high throughput)		-
DIP-1243N|refseq:NP_010121|uniprotkb:P39517	DIP-794N|refseq:NP_009527|uniprotkb:P38203	 -	-	-	-	MI:0018(two hybrid)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:10688190|pubmed:DIP-513S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-1584E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-1330N|refseq:NP_012411|uniprotkb:P47017	DIP-794N|refseq:NP_009527|uniprotkb:P38203	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0007(anti tag coimmunoprecipitation)|MI:0676(tandem affinity purification)	-	pubmed:10747033|pubmed:DIP-1295S|pubmed:10688190|pubmed:DIP-513S|pubmed:10900456|pubmed:DIP-1015S|pubmed:10428970|pubmed:DIP-2195S|pubmed:11805837|pubmed:DIP-1767S|pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-1585E	dip-quality-status:core	dip:0002(small scale)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0002(small scale)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-1330N|refseq:NP_012411|uniprotkb:P47017	DIP-848N|refseq:NP_011037|uniprotkb:P40070	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0004(affinity chromatography technology)|MI:0676(tandem affinity purification)	-	pubmed:10428970|pubmed:DIP-2195S|pubmed:10688190|pubmed:DIP-513S|pubmed:10428970|pubmed:DIP-2195S|pubmed:10747033|pubmed:DIP-1295S|pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-1594E	dip-quality-status:core	dip:0002(small scale)|dip:0005(high throughput)|dip:0002(small scale)|dip:0002(small scale)|dip:0005(high throughput)		-
DIP-1428N|refseq:NP_010861|uniprotkb:Q02197	DIP-1429N|refseq:NP_009948|uniprotkb:P23059	 -	-	-	-	MI:0676(tandem affinity purification)|MI:0018(two hybrid)	-	pubmed:10504710|pubmed:DIP-1784S|pubmed:10688190|pubmed:DIP-513S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-1609E	dip-quality-status:core	dip:0002(small scale)|dip:0005(high throughput)		-
DIP-1431N|refseq:NP_012669|uniprotkb:P47167	DIP-1430N|refseq:NP_015371|uniprotkb:Q12262	 -	-	-	-	MI:0398(two hybrid pooling approach)|MI:0018(two hybrid)|MI:0398(two hybrid pooling approach)|MI:0018(two hybrid)	-	pubmed:11283351|pubmed:DIP-1102S|pubmed:10688190|pubmed:DIP-513S|pubmed:11283351|pubmed:DIP-1102S|pubmed:10688190|pubmed:DIP-513S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0218(physical interaction)	MI:0465(dip)	DIP-1610E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-1435N|refseq:NP_014506|uniprotkb:Q08278	DIP-1178N|refseq:NP_014817|uniprotkb:Q12343	 -	-	-	-	MI:0018(two hybrid)|MI:0676(tandem affinity purification)	-	pubmed:10688190|pubmed:DIP-513S|pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-1613E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-1470N|refseq:NP_014040|uniprotkb:P32497	DIP-1471N|refseq:NP_014155|uniprotkb:P32911	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:10688190|pubmed:DIP-513S|pubmed:11018020|pubmed:DIP-1517S|pubmed:11018020|pubmed:DIP-1517S|pubmed:12861028|pubmed:DIP-3916S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-1653E	dip-quality-status:core	dip:0005(high throughput)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0005(high throughput)		-
DIP-1487N|refseq:NP_014893|uniprotkb:Q08685	DIP-944N|refseq:NP_010514|uniprotkb:P39081	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0018(two hybrid)|MI:0398(two hybrid pooling approach)|MI:0004(affinity chromatography technology)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:21947206|pubmed:DIP-15038S|pubmed:10688190|pubmed:DIP-513S|pubmed:11283351|pubmed:DIP-1102S|pubmed:11689695|pubmed:DIP-2145S|pubmed:11805826|pubmed:DIP-1768S|pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-1672E	dip-quality-status:core	dip:0004(small scale)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0002(small scale)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-944N|refseq:NP_010514|uniprotkb:P39081	DIP-1489N|refseq:NP_011471|uniprotkb:P25299	 -	-	-	-	MI:0018(two hybrid)|MI:0401(biochemical)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0004(affinity chromatography technology)|MI:0676(tandem affinity purification)	-	pubmed:9199303|pubmed:DIP-915S|pubmed:9032237|pubmed:DIP-1389S|pubmed:10688190|pubmed:DIP-513S|pubmed:9032237|pubmed:DIP-1389S|pubmed:11689695|pubmed:DIP-2145S|pubmed:11689695|pubmed:DIP-2145S|pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-1674E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0005(high throughput)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0005(high throughput)		-
DIP-1504N|refseq:NP_012106|uniprotkb:P27796	DIP-1501N|refseq:NP_010426|uniprotkb:P39108	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0096(pull down)|MI:0019(coimmunoprecipitation)|MI:0018(two hybrid)|MI:0019(coimmunoprecipitation)|MI:0018(two hybrid)|MI:0004(affinity chromatography technology)|MI:0018(two hybrid)|MI:0096(pull down)	-	pubmed:8670791|pubmed:DIP-930S|pubmed:23812376|pubmed:DIP-16254S|pubmed:10087260|pubmed:DIP-2117S|pubmed:8670791|pubmed:DIP-930S|pubmed:12167700|pubmed:DIP-2116S|pubmed:10688190|pubmed:DIP-513S|pubmed:8670791|pubmed:DIP-930S|pubmed:12167700|pubmed:DIP-2116S|pubmed:23812376|pubmed:DIP-16254S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0407(direct interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-1686E	dip-quality-status:core	dip:0002(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0005(high throughput)|dip:0002(small scale)|dip:0002(small scale)|dip:0004(small scale)		-
DIP-1507N|refseq:NP_011300|uniprotkb:P35190	DIP-1493N|refseq:NP_015294|uniprotkb:P17157	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0004(affinity chromatography technology)	-	pubmed:10688190|pubmed:DIP-513S|pubmed:9032248|pubmed:DIP-1263S|pubmed:9032248|pubmed:DIP-1263S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-1688E	dip-quality-status:core	dip:0005(high throughput)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-1493N|refseq:NP_015294|uniprotkb:P17157	DIP-1496N|refseq:NP_010980|uniprotkb:P40038	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0398(two hybrid pooling approach)|MI:0004(affinity chromatography technology)|MI:0401(biochemical)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:11069666|pubmed:DIP-1522S|pubmed:11283351|pubmed:DIP-1102S|pubmed:9032248|pubmed:DIP-1263S|pubmed:11069666|pubmed:DIP-1522S|pubmed:10688190|pubmed:DIP-513S|pubmed:9032248|pubmed:DIP-1263S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0915(physical association)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-1690E	dip-quality-status:core	dip:0002(small scale)|dip:0005(high throughput)|dip:0002(small scale)|dip:0002(small scale)|dip:0005(high throughput)|dip:0002(small scale)|dip:0005(high throughput)		-
DIP-1493N|refseq:NP_015294|uniprotkb:P17157	DIP-1508N|refseq:NP_012214|uniprotkb:P40186	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0398(two hybrid pooling approach)|MI:0004(affinity chromatography technology)|MI:0018(two hybrid)|MI:0004(affinity chromatography technology)|MI:0398(two hybrid pooling approach)|MI:0401(biochemical)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:9032248|pubmed:DIP-1263S|pubmed:11069666|pubmed:DIP-1522S|pubmed:11283351|pubmed:DIP-1102S|pubmed:11069666|pubmed:DIP-1522S|pubmed:10688190|pubmed:DIP-513S|pubmed:9032248|pubmed:DIP-1263S|pubmed:11283351|pubmed:DIP-1102S|pubmed:11069666|pubmed:DIP-1522S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-1691E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0005(high throughput)|dip:0002(small scale)|dip:0005(high throughput)|dip:0002(small scale)|dip:0005(high throughput)|dip:0002(small scale)|dip:0005(high throughput)		-
DIP-1510N|refseq:NP_010102|uniprotkb:Q12477	DIP-1493N|refseq:NP_015294|uniprotkb:P17157	 -	-	-	-	MI:0018(two hybrid)|MI:0004(affinity chromatography technology)|MI:0018(two hybrid)	-	pubmed:10688190|pubmed:DIP-513S|pubmed:9032248|pubmed:DIP-1263S|pubmed:9032248|pubmed:DIP-1263S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-1693E	dip-quality-status:core	dip:0005(high throughput)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-1516N|refseq:NP_009445|uniprotkb:P24583	DIP-1517N|refseq:NP_013598|uniprotkb:P54786	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:11489916|pubmed:DIP-1223S|pubmed:10688190|pubmed:DIP-513S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-1698E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-1463N|refseq:NP_010172|uniprotkb:Q12277	DIP-931N|refseq:NP_011674|uniprotkb:P48240	 -	-	-	-	MI:0226(ion exchange chromatography)|MI:0096(pull down)|MI:0398(two hybrid pooling approach)|MI:0398(two hybrid pooling approach)|MI:0018(two hybrid)|MI:0071(molecular sieving)|MI:0018(two hybrid)	-	pubmed:15951817|pubmed:DIP-16258S|pubmed:15951817|pubmed:DIP-16258S|pubmed:11283351|pubmed:DIP-1102S|pubmed:11283351|pubmed:DIP-1102S|pubmed:10655498|pubmed:DIP-514S|pubmed:15951817|pubmed:DIP-16258S|pubmed:10688190|pubmed:DIP-513S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0218(physical interaction)|MI:0407(direct interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-1642E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0004(small scale)|dip:0005(high throughput)		-
DIP-1468N|refseq:NP_011017|uniprotkb:P40060	DIP-1387N|refseq:NP_010282|uniprotkb:Q03435	 -	-	-	-	MI:0018(two hybrid)|MI:0676(tandem affinity purification)	-	pubmed:10688190|pubmed:DIP-513S|pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-1649E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-1473N|refseq:NP_015151|uniprotkb:P33420	DIP-1205N|refseq:NP_011997|uniprotkb:P38696	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:11489916|pubmed:DIP-1223S|pubmed:10688190|pubmed:DIP-513S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-1656E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-1476N|refseq:NP_011562|uniprotkb:P53044	DIP-1475N|refseq:NP_009729|uniprotkb:P33755	 -	-	-	-	MI:0398(two hybrid pooling approach)|MI:0096(pull down)|MI:0018(two hybrid)|MI:0398(two hybrid pooling approach)|MI:0019(coimmunoprecipitation)|MI:0018(two hybrid)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)|MI:0096(pull down)	-	pubmed:11283351|pubmed:DIP-1102S|pubmed:23624404|pubmed:DIP-17812S|pubmed:23624404|pubmed:DIP-17812S|pubmed:11283351|pubmed:DIP-1102S|pubmed:11733065|pubmed:DIP-1759S|pubmed:10688190|pubmed:DIP-513S|pubmed:11805826|pubmed:DIP-1768S|pubmed:11805826|pubmed:DIP-1768S|pubmed:23624404|pubmed:DIP-17812S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-1659E	dip-quality-status:core	dip:0005(high throughput)|dip:0004(small scale)|dip:0004(small scale)|dip:0005(high throughput)|dip:0002(small scale)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0004(small scale)		-
DIP-1484N|refseq:NP_012494|uniprotkb:P14907	DIP-866N|refseq:NP_011634|uniprotkb:P48837	 -	-	-	-	MI:0398(two hybrid pooling approach)|MI:0019(coimmunoprecipitation)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0018(two hybrid)|MI:0398(two hybrid pooling approach)|MI:0004(affinity chromatography technology)	-	pubmed:11283351|pubmed:DIP-1102S|pubmed:7688296|pubmed:DIP-137S|pubmed:11387327|pubmed:DIP-1283S|pubmed:8565072|pubmed:DIP-1861S|pubmed:10688190|pubmed:DIP-513S|pubmed:11283351|pubmed:DIP-1102S|pubmed:11689687|pubmed:DIP-2143S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0218(physical interaction)	MI:0465(dip)	DIP-1667E	dip-quality-status:core	dip:0005(high throughput)|dip:0002(small scale)|dip:0005(high throughput)|dip:0002(small scale)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0002(small scale)		-
DIP-866N|refseq:NP_011634|uniprotkb:P48837	DIP-709N|refseq:NP_011343|uniprotkb:Q02199	 -	-	-	-	MI:0398(two hybrid pooling approach)|MI:0018(two hybrid)|MI:0004(affinity chromatography technology)	-	pubmed:11283351|pubmed:DIP-1102S|pubmed:10688190|pubmed:DIP-513S|pubmed:8565072|pubmed:DIP-1861S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-1668E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0002(small scale)		-
DIP-1486N|refseq:NP_013355|uniprotkb:Q06568	DIP-1485N|refseq:NP_014912|uniprotkb:P39946	 -	-	-	-	MI:0018(two hybrid)|MI:0398(two hybrid pooling approach)	-	pubmed:10688190|pubmed:DIP-513S|pubmed:11283351|pubmed:DIP-1102S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-1670E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-1488N|refseq:NP_013777|uniprotkb:P25298	DIP-944N|refseq:NP_010514|uniprotkb:P39081	 -	-	-	-	MI:0401(biochemical)|MI:0004(affinity chromatography technology)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:9032237|pubmed:DIP-1389S|pubmed:11689695|pubmed:DIP-2145S|pubmed:9032237|pubmed:DIP-1389S|pubmed:9199303|pubmed:DIP-915S|pubmed:10688190|pubmed:DIP-513S|pubmed:11805826|pubmed:DIP-1768S|pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-1673E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-1501N|refseq:NP_010426|uniprotkb:P39108	DIP-1502N|refseq:NP_012030|uniprotkb:P38855	 -	-	-	-	MI:0676(tandem affinity purification)|MI:0018(two hybrid)|MI:0004(affinity chromatography technology)|MI:0398(two hybrid pooling approach)|MI:0019(coimmunoprecipitation)|MI:0018(two hybrid)	-	pubmed:12167700|pubmed:DIP-2116S|pubmed:9864360|pubmed:DIP-1278S|pubmed:9864360|pubmed:DIP-1278S|pubmed:11283351|pubmed:DIP-1102S|pubmed:11590152|pubmed:DIP-1775S|pubmed:10688190|pubmed:DIP-513S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-1684E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0005(high throughput)|dip:0002(small scale)|dip:0005(high throughput)		-
DIP-1503N|refseq:NP_011755|uniprotkb:P50091	DIP-1501N|refseq:NP_010426|uniprotkb:P39108	 -	-	-	-	MI:0398(two hybrid pooling approach)|MI:0398(two hybrid pooling approach)|MI:0096(pull down)|MI:0004(affinity chromatography technology)|MI:0096(pull down)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0096(pull down)|MI:0096(pull down)|MI:0096(pull down)	-	pubmed:11283351|pubmed:DIP-1102S|pubmed:11283351|pubmed:DIP-1102S|pubmed:23812376|pubmed:DIP-16254S|pubmed:9864360|pubmed:DIP-1278S|pubmed:23812376|pubmed:DIP-16254S|pubmed:9864360|pubmed:DIP-1278S|pubmed:10688190|pubmed:DIP-513S|pubmed:23812376|pubmed:DIP-16254S|pubmed:23812376|pubmed:DIP-16254S|pubmed:23812376|pubmed:DIP-16254S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0218(physical interaction)|MI:0407(direct interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-1685E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0004(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0005(high throughput)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-1509N|refseq:NP_015105|uniprotkb:Q08966	DIP-1493N|refseq:NP_015294|uniprotkb:P17157	 -	-	-	-	MI:0018(two hybrid)|MI:0398(two hybrid pooling approach)|MI:0018(two hybrid)|MI:0004(affinity chromatography technology)	-	pubmed:9032248|pubmed:DIP-1263S|pubmed:11283351|pubmed:DIP-1102S|pubmed:10688190|pubmed:DIP-513S|pubmed:9032248|pubmed:DIP-1263S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0915(physical association)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-1692E	dip-quality-status:core	dip:0002(small scale)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0002(small scale)		-
DIP-866N|refseq:NP_011634|uniprotkb:P48837	DIP-1533N|refseq:NP_014039|uniprotkb:P32337	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0018(two hybrid)|MI:0049(filter binding)	-	pubmed:11387327|pubmed:DIP-1283S|pubmed:10688190|pubmed:DIP-513S|pubmed:9864357|pubmed:DIP-804S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-1717E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0002(small scale)		-
DIP-1512N|refseq:NP_010035|uniprotkb:Q07786	DIP-1533N|refseq:NP_014039|uniprotkb:P32337	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:10688190|pubmed:DIP-513S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-1720E	dip-quality-status:core	dip:0005(high throughput)		-
DIP-1538N|refseq:NP_010446|uniprotkb:Q12163	DIP-1537N|refseq:NP_010278|uniprotkb:P35182	 -	-	-	-	MI:0398(two hybrid pooling approach)|MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:11283351|pubmed:DIP-1102S|pubmed:10688190|pubmed:DIP-513S|pubmed:10655498|pubmed:DIP-514S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-1724E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-1208N|refseq:NP_015164|uniprotkb:P39011	DIP-1040N|refseq:NP_015491|uniprotkb:P06780	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0004(affinity chromatography technology)|MI:0018(two hybrid)	-	pubmed:10688190|pubmed:DIP-513S|pubmed:8754840|pubmed:DIP-627S|pubmed:11489916|pubmed:DIP-1223S|pubmed:8754840|pubmed:DIP-627S|pubmed:8754839|pubmed:DIP-626S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-1747E	dip-quality-status:core	dip:0005(high throughput)|dip:0002(small scale)|dip:0005(high throughput)|dip:0002(small scale)|dip:0002(small scale)		-
